clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
0,6415.0,9151.0,0.0,1.0,1.0,-1.0,1.0,-12.0,12.0,-1.0,1.0,-1.0,1.0,-8.0,8.0,2736.0
0,6415.0,9151.0,0.0,0.0,0.0,-1.0,1.0,-12.0,12.0,0.0,0.0,0.0,0.0,-6.0,6.0,2736.0
0,6414.0,9150.0,0.0,-1.0,1.0,-2.0,2.0,-13.0,13.0,-1.0,1.0,-2.0,2.0,-7.0,7.0,2736.0
0,6413.0,9152.0,0.0,-1.0,1.0,-2.0,2.0,-14.0,14.0,2.0,2.0,-1.0,1.0,-7.0,7.0,2739.0
0,6413.0,9151.0,0.0,0.0,0.0,-2.0,2.0,-12.0,12.0,-1.0,1.0,-2.0,2.0,-6.0,6.0,2738.0
0,6412.0,9151.0,0.0,-1.0,1.0,-2.0,2.0,-14.0,14.0,0.0,0.0,-2.0,2.0,-7.0,7.0,2739.0
0,6412.0,9151.0,0.0,0.0,0.0,-2.0,2.0,-14.0,14.0,0.0,0.0,0.0,0.0,-8.0,8.0,2739.0
0,6412.0,9151.0,0.0,0.0,0.0,-3.0,3.0,-13.0,13.0,0.0,0.0,-1.0,1.0,-6.0,6.0,2739.0
0,6412.0,9150.0,0.0,0.0,0.0,-2.0,2.0,-13.0,13.0,-1.0,1.0,-2.0,2.0,-7.0,7.0,2738.0
0,6413.0,9150.0,0.0,1.0,1.0,-2.0,2.0,-10.0,10.0,0.0,0.0,-1.0,1.0,-7.0,7.0,2737.0
0,6411.0,9150.0,0.0,-2.0,2.0,-4.0,4.0,-13.0,13.0,0.0,0.0,-1.0,1.0,-7.0,7.0,2739.0
0,6412.0,9150.0,0.0,1.0,1.0,-2.0,2.0,-14.0,14.0,0.0,0.0,0.0,0.0,-7.0,7.0,2738.0
0,6411.0,9150.0,0.0,-1.0,1.0,-2.0,2.0,-12.0,12.0,0.0,0.0,-2.0,2.0,-7.0,7.0,2739.0
